subject_id,timestamp_s,activity_id,heart_rate_bpm,hand_temp_c,hand_acc16_x_ms2,hand_acc16_y_ms2,hand_acc16_z_ms2,hand_acc6_x_ms2,hand_acc6_y_ms2,hand_acc6_z_ms2,hand_gyro_x_rads,hand_gyro_y_rads,hand_gyro_z_rads,hand_mag_x_ut,hand_mag_y_ut,hand_mag_z_ut,hand_orientation_w,hand_orientation_x,hand_orientation_y,hand_orientation_z,chest_temp_c,chest_acc16_x_ms2,chest_acc16_y_ms2,chest_acc16_z_ms2,chest_acc6_x_ms2,chest_acc6_y_ms2,chest_acc6_z_ms2,chest_gyro_x_rads,chest_gyro_y_rads,chest_gyro_z_rads,chest_mag_x_ut,chest_mag_y_ut,chest_mag_z_ut,chest_orientation_w,chest_orientation_x,chest_orientation_y,chest_orientation_z,ankle_temp_c,ankle_acc16_x_ms2,ankle_acc16_y_ms2,ankle_acc16_z_ms2,ankle_acc6_x_ms2,ankle_acc6_y_ms2,ankle_acc6_z_ms2,ankle_gyro_x_rads,ankle_gyro_y_rads,ankle_gyro_z_rads,ankle_mag_x_ut,ankle_mag_y_ut,ankle_mag_z_ut,ankle_orientation_w,ankle_orientation_x,ankle_orientation_y,ankle_orientation_z
107,3104.99,5,117.0,32.5,-9.17441,2.56753,1.81838,-9.01648,2.77194,1.99022,-0.037226,-0.0228738,0.030766,42.8148,-4.26368,-13.0173,0.502126,-0.573817,-0.252603,0.595647,36.8125,0.756147,9.69071,-0.904805,0.616349,9.72282,-0.463738,0.0272884,0.00717012,-0.00336194,1.43183,-41.1631,15.4635,0.53986,-0.595149,-0.416667,-0.425133,32.0,9.55329,-0.836908,-2.65288,9.54611,-0.711991,-2.31017,0.0173004,0.0467904,0.0245455,-24.9082,10.2446,5.13824,0.467117,0.558671,0.553191,0.40456
107,3105.0,5,117.0,32.5,-9.17361,2.49198,1.85713,-9.03206,2.74182,1.9601,-0.0135197,-0.0123114,0.00467745,42.4484,-4.49258,-13.4089,0.502417,-0.573553,-0.252215,0.595821,36.8125,0.687924,9.69276,-0.635001,0.570577,9.67773,-0.524043,-0.0152576,0.013326,0.00990164,1.43169,-40.3885,14.7541,0.539809,-0.595133,-0.416614,-0.425271,32.0,9.55259,-0.76065,-2.69195,9.50105,-0.681751,-2.31003,0.0255695,-0.0115034,-0.00197475,-24.3794,9.44622,5.28286,0.4675,0.558287,0.553159,0.404691
107,3105.01,5,117.0,32.5,-9.17227,2.68168,1.85651,-9.03383,2.63602,1.85463,-0.01436,-0.0312051,0.0174261,42.3229,-4.23786,-13.6726,0.502592,-0.573295,-0.251526,0.596212,36.8125,0.722607,9.69186,-0.750533,0.556724,9.72283,-0.372703,-0.024847,0.0311889,-0.0182001,1.68909,-41.3017,15.6071,0.539869,-0.594926,-0.416705,-0.425395,32.0,9.59162,-0.875435,-2.61365,9.57591,-0.666684,-2.37101,-0.0422065,-0.0261453,-0.00229043,-24.0098,10.0715,5.28343,0.46748,0.558219,0.553204,0.404746
107,3105.02,5,117.0,32.5,-9.10365,2.64148,1.66524,-9.07891,2.65145,1.85464,0.0161544,0.00494077,0.00478634,42.9335,-3.77372,-13.1518,0.502207,-0.573683,-0.251916,0.595998,36.8125,0.645533,9.8048,-0.791017,0.55655,9.73798,-0.417995,0.0240148,0.0244688,-0.00708096,1.70824,-41.9466,15.0469,0.539952,-0.594806,-0.41689,-0.425276,32.0,9.62654,-0.722834,-2.73001,9.57591,-0.666684,-2.37101,0.0343353,-0.00154135,-0.0270659,-24.7707,9.85197,5.28101,0.467901,0.557658,0.553324,0.404868
107,3105.03,5,117.0,32.5,-9.10097,2.64215,1.74225,-9.06282,2.77215,1.85436,0.00984558,-0.00872867,-0.00158652,42.9314,-4.02136,-12.4941,0.501468,-0.574356,-0.252667,0.595655,36.8125,0.607119,9.69196,-0.791346,0.570853,9.69278,-0.493776,-0.0174397,0.0210586,-0.00522487,1.30411,-40.771,15.0374,0.539766,-0.594793,-0.41688,-0.425542,32.0,9.55947,-0.496476,-2.50057,9.59113,-0.6515,-2.32574,-0.00111536,-0.04488,-0.0196882,-24.8794,8.95618,5.28167,0.468154,0.557348,0.55306,0.405364
107,3105.04,5,117.0,32.5,-9.13448,2.68139,1.85708,-9.07689,2.81763,1.92978,0.00808171,-0.00452866,0.000197225,42.8125,-4.01546,-13.15,0.501354,-0.574496,-0.252732,0.595589,36.8125,0.75729,9.69097,-0.866064,0.616187,9.76821,-0.539168,0.00165623,-0.00250054,0.0219028,0.92049,-41.4021,15.4613,0.539178,-0.595092,-0.416705,-0.42604,32.0,9.63585,-0.839631,-2.38189,9.57617,-0.636359,-2.31057,-0.0117923,-0.00844231,0.00662075,-24.2637,10.0846,5.42436,0.468076,0.557419,0.553049,0.40537
107,3105.05,5,117.0,32.5,-9.17575,2.56719,1.77987,-9.09259,2.78749,1.88456,-0.0216678,0.0154669,0.0163305,42.6815,-3.76,-12.7576,0.501156,-0.574849,-0.253307,0.59517,36.8125,0.678873,9.72834,-0.945048,0.631858,9.76802,-0.433475,-0.00731615,0.0135724,0.000199594,1.42077,-40.1306,15.1756,0.539083,-0.595079,-0.416685,-0.426197,32.0,9.51906,-0.647471,-2.57722,9.60609,-0.651515,-2.34095,-0.0264105,-0.0127774,0.0081171,-23.8669,9.42108,5.42652,0.46788,0.557603,0.553046,0.405348
107,3105.06,5,117.0,32.5,-9.2934,2.71848,1.62365,-9.09284,2.78747,1.85436,0.0206109,0.0212745,0.0179058,42.5577,-3.62947,-13.0206,0.500981,-0.575163,-0.253438,0.594958,36.8125,0.719574,9.8417,-0.867237,0.646522,9.72273,-0.448808,-0.00350934,0.00453507,-0.0332918,1.70075,-41.3014,14.9022,0.539406,-0.594909,-0.416778,-0.425935,32.0,9.52216,-0.686403,-2.46118,9.59126,-0.636338,-2.29552,-0.058669,0.0429249,0.0172197,-24.1293,9.69124,5.28346,0.468005,0.557541,0.552775,0.40566
107,3105.07,5,117.0,32.5,-9.10285,2.7553,1.66486,-9.1231,2.80276,1.82415,-0.0292428,0.0320735,0.0468492,42.6899,-4.133,-13.1491,0.501098,-0.575302,-0.253308,0.594781,36.8125,0.764153,9.69252,-0.633619,0.662307,9.78298,-0.388278,-0.0366349,-0.00557123,0.00970429,1.43243,-40.1303,14.4706,0.539572,-0.594839,-0.416602,-0.425995,32.0,9.55719,-0.723966,-2.53777,9.54632,-0.63631,-2.26501,0.0251082,-0.00147276,0.0209625,-24.2594,9.95605,5.56636,0.467904,0.557736,0.552761,0.405526
107,3105.08,5,117.0,32.5,-9.28912,2.75743,1.73904,-9.16794,2.77295,1.89977,-0.0326429,0.0302657,0.0141581,42.5611,-4.12577,-12.6239,0.500864,-0.575646,-0.253767,0.594449,36.8125,0.720419,9.729,-0.828135,0.647541,9.79807,-0.35792,-0.0354892,0.0401188,0.0192264,1.31823,-41.5452,14.9009,0.53952,-0.594725,-0.416516,-0.426304,32.0,9.51116,-0.683191,-2.84721,9.5313,-0.621189,-2.26498,0.022218,0.0409077,0.0229278,-23.8758,10.0665,5.85124,0.467441,0.558361,0.552556,0.405481
107,3105.09,5,117.0,32.5,-9.25748,2.64197,1.58596,-9.16794,2.75786,1.9149,-0.0167767,0.0107428,0.0237623,42.6959,-4.25778,-13.6733,0.501212,-0.575368,-0.252983,0.594759,36.8125,0.725293,9.84299,-0.673533,0.647265,9.78302,-0.388187,-0.0197875,0.0346062,-0.0235708,1.55745,-40.6515,15.1795,0.539585,-0.594554,-0.416587,-0.42639,32.0,9.58911,-0.722597,-2.7304,9.48629,-0.65143,-2.2495,-0.00681181,-0.0141104,0.0239109,-24.7715,10.1108,5.70621,0.467267,0.558619,0.552506,0.405394
