subject_id,timestamp_s,activity_id,heart_rate_bpm,hand_temp_c,hand_acc16_x_ms2,hand_acc16_y_ms2,hand_acc16_z_ms2,hand_acc6_x_ms2,hand_acc6_y_ms2,hand_acc6_z_ms2,hand_gyro_x_rads,hand_gyro_y_rads,hand_gyro_z_rads,hand_mag_x_ut,hand_mag_y_ut,hand_mag_z_ut,hand_orientation_w,hand_orientation_x,hand_orientation_y,hand_orientation_z,chest_temp_c,chest_acc16_x_ms2,chest_acc16_y_ms2,chest_acc16_z_ms2,chest_acc6_x_ms2,chest_acc6_y_ms2,chest_acc6_z_ms2,chest_gyro_x_rads,chest_gyro_y_rads,chest_gyro_z_rads,chest_mag_x_ut,chest_mag_y_ut,chest_mag_z_ut,chest_orientation_w,chest_orientation_x,chest_orientation_y,chest_orientation_z,ankle_temp_c,ankle_acc16_x_ms2,ankle_acc16_y_ms2,ankle_acc16_z_ms2,ankle_acc6_x_ms2,ankle_acc6_y_ms2,ankle_acc6_z_ms2,ankle_gyro_x_rads,ankle_gyro_y_rads,ankle_gyro_z_rads,ankle_mag_x_ut,ankle_mag_y_ut,ankle_mag_z_ut,ankle_orientation_w,ankle_orientation_x,ankle_orientation_y,ankle_orientation_z
106,3621.5,24,173.0,27.9375,-3.90676,8.58906,-3.28034,-4.05271,8.5758,-3.26754,0.108049,-0.0472012,0.0561103,30.1249,-25.8986,24.0158,0.583166,-0.693297,-0.419909,-0.0541585,33.3125,0.815817,9.9125,-1.48526,0.357897,10.0566,-1.27729,-0.114737,0.00692521,0.0290502,-19.2514,-38.0807,17.5582,0.207907,-0.241198,-0.703121,-0.635782,33.9375,9.72493,0.41061,-2.1186,9.71484,0.52922,-1.5583,0.0739403,0.0109117,-0.0221184,-38.1549,-11.7963,34.3346,0.122862,-0.757472,0.101674,-0.633091
106,3621.51,24,173.0,27.9375,-3.97886,8.51477,-3.16571,-4.06779,8.53064,-3.22212,0.0915058,-0.0377348,0.0461727,30.0028,-26.1402,24.1487,0.582937,-0.693701,-0.419593,-0.053908,33.3125,0.860495,9.80098,-1.25176,0.478618,9.90506,-1.05177,-0.142507,-0.00719892,0.0690757,-18.6156,-37.7174,17.7015,0.207881,-0.241457,-0.702535,-0.63634,33.9375,9.6881,0.524753,-2.11969,9.69997,0.650253,-1.52834,0.0208949,0.00460098,-0.0294069,-38.6776,-10.9965,34.7574,0.122585,-0.757521,0.101416,-0.633126
106,3621.52,24,173.0,27.9375,-3.9416,8.62796,-3.20402,-4.0384,8.50017,-3.28249,0.118832,-0.0519124,0.0602771,29.6252,-25.8717,24.2791,0.58246,-0.694315,-0.41926,-0.0537452,33.3125,0.623403,9.64926,-1.52661,0.537806,9.70866,-1.00736,-0.0739425,0.00790842,0.0603735,-18.7315,-38.0995,17.2799,0.207595,-0.241676,-0.702062,-0.636873,33.9375,9.691,0.447852,-2.00341,9.69979,0.650198,-1.57374,0.017087,0.019284,-0.0363688,-37.7877,-11.4305,33.6263,0.122765,-0.757463,0.101149,-0.633205
106,3621.53,24,173.0,27.9375,-3.86496,8.58978,-3.16426,-4.06842,8.51549,-3.28249,0.132958,-0.0212706,0.0405608,30.1249,-26.1465,24.411,0.582009,-0.694849,-0.419036,-0.0534728,33.3125,0.659975,9.49827,-1.56418,0.430748,9.55816,-1.14316,-0.0270236,-0.0352187,0.0507372,-17.9695,-37.8702,17.7069,0.207724,-0.242087,-0.702034,-0.636705,33.9375,9.61415,0.486937,-2.08162,9.65481,0.54435,-1.54289,0.0116152,0.00665764,-0.0207469,-38.1577,-11.6674,34.3345,0.122892,-0.757425,0.101035,-0.633243
106,3621.54,24,173.0,27.9375,-3.75105,8.66478,-3.1628,-4.0075,8.60565,-3.29785,0.0597447,-0.0150803,0.0389688,30.8643,-25.6896,24.4067,0.582011,-0.695123,-0.418622,-0.0531206,33.3125,0.465871,9.46044,-1.68373,0.324061,9.4378,-1.24866,-0.0611107,-0.0302435,0.0453641,-19.1265,-37.8273,17.5576,0.207533,-0.242205,-0.701744,-0.637041,33.9375,9.61595,0.410357,-2.00395,9.66979,0.58971,-1.55825,0.00587043,0.00976201,0.0194418,-38.0432,-10.8998,34.6176,0.122497,-0.757431,0.101033,-0.633313
106,3621.55,24,173.0,27.9375,-3.63876,8.70151,-3.19973,-3.9167,8.57486,-3.22237,0.0534096,0.0174731,0.0407726,30.7461,-26.0557,24.278,0.581987,-0.69535,-0.418303,-0.0529315,33.3125,0.509505,9.38631,-1.4891,0.293594,9.3775,-1.24865,-0.0898418,-0.0499366,0.0435034,-19.0056,-37.3159,17.5555,0.207512,-0.242366,-0.701386,-0.637381,33.9375,9.693,0.409241,-1.92597,9.6547,0.574563,-1.57326,0.00554481,-0.0246297,-0.00451376,-38.0385,-11.4167,34.0509,0.122523,-0.757496,0.100997,-0.633235
106,3621.56,24,173.0,27.9375,-3.79098,8.74028,-3.24063,-3.87162,8.54434,-3.20725,0.00902306,0.0261369,0.0496641,30.3736,-26.1598,24.4106,0.581942,-0.695526,-0.418056,-0.0530684,33.3125,0.474722,9.34955,-1.37345,0.38455,9.3469,-1.09816,-0.0899485,-0.00531824,0.0289299,-18.7412,-38.2289,17.9856,0.207615,-0.242506,-0.701144,-0.637561,33.9375,9.64819,0.259531,-2.15704,9.68504,0.529287,-1.4976,0.0285904,0.00372994,-0.0104891,-38.0342,-11.5452,34.1929,0.12253,-0.757469,0.100868,-0.633286
106,3621.57,24,173.0,27.9375,-3.71139,8.55134,-3.08485,-3.99155,8.56037,-3.14676,0.0445233,0.0178235,0.0289695,30.1238,-26.1464,24.5422,0.581705,-0.695755,-0.417991,-0.0531746,33.3125,0.699533,9.61137,-1.52511,0.444908,9.37695,-1.09844,-0.0587679,-0.0522362,0.0394939,-19.251,-37.9516,17.4164,0.207499,-0.242736,-0.700751,-0.637943,33.9375,9.72704,0.181834,-2.00139,9.66976,0.49896,-1.55796,0.0116493,0.0067739,-0.0105051,-38.0393,-11.1579,34.4761,0.122365,-0.757469,0.100806,-0.633329
106,3621.58,24,173.0,27.9375,-3.79044,8.24808,-3.1235,-3.99257,8.40938,-3.11623,0.0366175,0.0370959,0.0353375,30.12,-26.0219,24.8039,0.581378,-0.695981,-0.418033,-0.0534613,33.3125,0.743366,9.61255,-1.33071,0.490343,9.48258,-1.15885,-0.0492411,-0.105981,0.0248424,-18.9986,-37.3157,17.1326,0.207578,-0.243091,-0.700358,-0.638214,33.9375,9.76616,0.295182,-1.96311,9.60959,0.423304,-1.57253,0.0164571,-0.00309592,-0.00585858,-38.4127,-11.5251,34.6171,0.122327,-0.757473,0.10081,-0.633332
106,3621.59,24,173.0,27.9375,-3.7875,8.47605,-3.08574,-3.9471,8.43926,-3.11634,0.0265184,0.0477487,0.0338783,30.2527,-26.6495,24.8075,0.581112,-0.696171,-0.418051,-0.0537452,33.3125,0.743167,9.53724,-1.33047,0.537141,9.61812,-1.02273,-0.0434415,-0.0296852,0.0233531,-18.6163,-37.9756,17.985,0.207814,-0.243446,-0.700233,-0.638139,33.9375,9.65118,0.410763,-2.08077,9.68466,0.514051,-1.58836,0.0285369,0.0259903,0.0172904,-38.5459,-11.261,34.6163,0.122064,-0.757406,0.100788,-0.633466
